2014-12-20,"FC Schalke 04","Hamburger SV",Bundesliga,1.8,3.6,4.2,0,0,0,0,x
2014-12-20,"VfL Wolfsburg","1. FC Köln",Bundesliga,1.48,4.75,7.25,1,2,1,1,1
2014-12-21,"Hertha BSC","1899 Hoffenheim",Bundesliga,2.55,3.25,2.7,0,0,3,5,2
2014-12-21,"SC Freiburg","Hannover 96",Bundesliga,2.5,3.3,2.7,1,2,0,2,x
2015-01-30,"VfL Wolfsburg","FC Bayern München",Bundesliga,5.75,4.75,1.53,2,4,0,1,1
2015-01-31,"VfB Stuttgart","Borussia Mönchengladbach",Bundesliga,2.75,3.25,2.5,0,0,0,1,2
2015-01-31,"SC Freiburg","Eintracht Frankfurt",Bundesliga,2.8,3.2,2.5,0,4,1,1,1
2015-01-31,"FC Schalke 04","Hannover 96",Bundesliga,2,3.5,3.5,1,1,0,0,1
2015-01-31,"FSV Mainz 05","SC Paderborn 07",Bundesliga,2.05,3.3,3.6,1,5,0,0,1
2015-01-31,"Hamburger SV","1. FC Köln",Bundesliga,2.25,3.3,3.1,0,0,0,2,2
2015-01-31,"Bayer Leverkusen","Borussia Dortmund",Bundesliga,2.55,3.3,3,0,0,0,0,x
2015-02-01,"Werder Bremen","Hertha BSC",Bundesliga,2.25,3.3,3.1,1,2,0,0,1
2015-02-01,"FC Augsburg","1899 Hoffenheim",Bundesliga,2.4,3.1,3,2,3,1,1,1
2015-02-03,"FC Bayern München","FC Schalke 04",Bundesliga,1.16,7.5,13,0,1,0,1,x
2015-02-03,"Borussia Mönchengladbach","SC Freiburg",Bundesliga,1.53,4.5,5.25,1,1,0,0,1
2015-02-03,"Hannover 96","FSV Mainz 05",Bundesliga,2.3,3.4,2.9,1,1,0,1,x
2015-02-03,"Eintracht Frankfurt","VfL Wolfsburg",Bundesliga,4,3.6,1.85,0,1,0,1,x
2015-02-04,"Borussia Dortmund","FC Augsburg",Bundesliga,1.48,4.6,5.75,0,0,0,1,2
2015-02-04,"1899 Hoffenheim","Werder Bremen",Bundesliga,1.7,4,4.25,1,1,1,2,2
2015-02-04,"Hertha BSC","Bayer Leverkusen",Bundesliga,4.5,3.6,1.75,0,0,0,1,2
2015-02-04,"1. FC Köln","VfB Stuttgart",Bundesliga,2.3,3.2,3.1,0,0,0,0,x
2015-02-04,"SC Paderborn 07","Hamburger SV",Bundesliga,2.55,3.25,2.7,0,0,1,3,2
2014-11-21,"Athletic Bilbao",Espanyol,"Primera Division",1.83,3.4,4.4,2,3,0,1,1
2014-11-22,"Atletico Madrid",Malaga,"Primera Division",1.5,4.1,6.25,2,3,0,1,1
2014-11-22,"SD Eibar","Real Madrid","Primera Division",12,6,1.22,0,0,2,4,2
2014-11-22,"FC Barcelona","FC Sevilla","Primera Division",1.25,6,9.75,1,5,0,1,1
2014-11-22,"Deportivo La Coruna","Real Sociedad","Primera Division",3,3.3,2.3,0,0,0,0,x
2014-11-23,"Rayo Vallecano","Celta de Vigo","Primera Division",2.6,3.5,2.7,1,1,0,0,1
2014-11-23,Levante,Valencia,"Primera Division",3.9,3.5,1.9,0,2,0,1,1
2014-11-23,Elche,Cordoba,"Primera Division",2,3.25,3.75,0,2,1,2,x
2014-11-23,Villarreal,Getafe,"Primera Division",1.5,4,6.5,2,2,0,1,1
2014-11-24,"Granada CF","UD Almeria","Primera Division",2.15,3.2,3.4,0,0,0,0,x
2014-11-29,Getafe,"Athletic Bilbao","Primera Division",2.8,3.1,2.7,0,1,1,2,2
2014-11-29,Espanyol,Levante,"Primera Division",1.68,3.5,5.5,2,2,1,1,1
2014-11-29,Malaga,"Real Madrid","Primera Division",7.75,5,1.36,0,1,1,2,2
